errno.EPERM,Operation not permitted,操作不被允许
errno.ENOENT,No such file or directory,没有这样的文件或目录
errno.ESRCH,No such process,没有这样的过稿
errno.EINTR,Interrupted system call,中断的系统调甿
errno.EIO,I/O error,I / O错误
errno.ENXIO,No such device or address,没有这样的设备或地址
errno.E2BIG,Arg list too long,精氨酸列表太长
errno.ENOEXEC,Exec format error,Exec的格式错诿
errno.EBADF,Bad file number,错误的文件数
errno.ECHILD,No child processes,无子进程
errno.EAGAIN,Try again,再试一欿
errno.ENOMEM,Out of memory,内存不足
errno.EACCES,Permission denied,没有权限
errno.EFAULT,Bad address,错误的地址
errno.ENOTBLK,Block device required,需要块设备
errno.EBUSY,Device or resource busy,设备或资源忙
errno.EEXIST,File exists,文件存在
errno.EXDEV,Cross-device link,跨设备链掿
errno.ENODEV,No such device,没有这样的设夿
errno.ENOTDIR,Not a directory,不是一个目彿
errno.EISDIR,Is a directory,是一个目彿
errno.EINVAL,Invalid argument,参数无效
errno.ENFILE,File table overflow,文件表溢凿
errno.EMFILE,Too many open files,打开的文件太夿
errno.ENOTTY,Not a typewriter,不是打字朿
errno.ETXTBSY,Text file busy,文本文件忿
errno.EFBIG,File too large,文件过大
errno.ENOSPC,No space left on device,设备上没有剩余空闿
errno.ESPIPE,Illegal seek,非法谋取
errno.EROFS,Read-only file system,只读文件系统
errno.EMLINK,Too many links,太多的链掿
errno.EPIPE,Broken pipe,断管
errno.EDOM,Math argument out of domain of func,数学参数超出函数埿
errno.ERANGE,Math result not representable,数学结果没有代表怿
errno.EDEADLK,Resource deadlock would occur,会发生资源死锿
errno.ENAMETOOLONG,File name too long,文件名过长
errno.ENOLCK,No record locks available,没有可用的记录锁
errno.ENOSYS,Function not implemented,功能未实玿
errno.ENOTEMPTY,Directory not empty,目录非空
errno.ELOOP,Too many symbolic links encountered,遇到了太多的符号链接
errno.EWOULDBLOCK,Operation would block,操作将阻塿
errno.ENOMSG,No message of desired type,所需类型的无消息
errno.EIDRM,Identifier removed,标识去掉
errno.ECHRNG,Channel number out of range,通道号超出范囿
errno.EL2NSYNC,Level 2 not synchronized,2级不同步
errno.EL3HLT,Level 3 halted,3级叫偿
errno.EL3RST,Level 3 reset,3级复使
errno.ELNRNG,Link number out of range,链接数量超出范围
errno.EUNATCH,Protocol driver not attached,Protocol驱动程序不附
errno.ENOCSI,No CSI structure available,没有CSI结构可用
errno.EL2HLT,Level 2 halted,2级叫偿
errno.EBADE,Invalid exchange,无效的交捿
errno.EBADR,Invalid request descriptor,无效的请求描述符
errno.EXFULL,Exchange full,交易所兿
errno.ENOANO,No anode,无阳枿
errno.EBADRQC,Invalid request code,无效的请求代砿
errno.EBADSLT,Invalid slot,无效的插槿
errno.EDEADLOCK,File locking deadlock error,文件锁定死锁错误
errno.EBFONT,Bad font file format,坏字体文件格弿
errno.ENOSTR,Device not a stream,设备未流
errno.ENODATA,No data available,无可用数捿
errno.ETIME,Timer expired,计时器到朿
errno.ENOSR,Out of streams resources,出流资源
errno.ENONET,Machine is not on the network,机是不是在网络上
errno.ENOPKG,Package not installed,不打包安裿
errno.EREMOTE,Object is remote,对象是远程的
errno.ENOLINK,Link has been severed,链路被切斿
errno.EADV,Advertise error,广告错误
errno.ESRMNT,Srmount error,Srmount错误
errno.ECOMM,Communication error on send,在发送通信错误
